a52dec 0.7.4-9
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lvm2 2.02.172-2
lz4 1:1.7.5-1
lzo 2.10-1
m4 1.4.18-1
maia-wallpaper 1.2-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.11-1
manjaro-alsa 2012.11-1
manjaro-artwork 1.0.8-4
manjaro-base-skel 20170630-1
manjaro-browser-settings 20161221-1
manjaro-documentation-en 20170326-1
manjaro-firmware 20160419-1
manjaro-hello 0.5.3-1
manjaro-hotfixes 2015.12-3
manjaro-icons 20170701-1
manjaro-keyring 20170603-1
manjaro-mate-panel-layout 20170318-1
manjaro-mate-settings 20170614-1
manjaro-printer 20170501-1
manjaro-pulse 2012.11-1
manjaro-release 17.0.2-1
manjaro-settings-manager 0.5.3-4
manjaro-settings-manager-notifier 0.5.3-4
manjaro-system 20170406-5
marco 1.18.1-1
mate-applets 1.18.1-1
mate-calc 1.18.0-1
mate-common 1.18.0-1
mate-control-center 1.18.2-1
mate-desktop 1.18.0-1.1
mate-icon-theme 1.18.2-1
mate-icon-theme-faenza 1.18.1-1
mate-media 1.18.1-1
mate-menu 17.10.6-1
mate-menus 1.18.0-1
mate-netbook 1.18.1-1
mate-notification-daemon 1.18.0-1
mate-notification-theme-slate 4-1
mate-panel 1.18.4-1
mate-polkit 1.18.1-1
mate-power-manager 1.18.0-1
mate-screensaver 1.18.1-1
mate-sensors-applet 1.18.2-1
mate-session-manager 1.18.1-1
mate-settings-daemon 1.18.1-1
mate-system-monitor 1.18.0-1
mate-terminal 1.18.1-1
mate-themes 3.22.13-1
mate-tweak 17.10.4-1
mate-user-guide 1.18.0-1
mate-user-share 1.18.0-2
mate-utils 1.18.2-1
mate-wallpapers 20170614-1
mathjax 2.7.1-1
mc 4.8.19-1
mdadm 4.0-1
media-player-info 22-2
memtest86+ 5.01-2
mesa 17.1.5-1
mesa-demos 8.3.0-2
mhwd 0.6.0-1
mhwd-amdgpu 1.2.0-2
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-1
mhwd-db 0.6.0-1
mhwd-nvidia 1:375.66-1
mhwd-nvidia-304xx 1:304.134-1
mhwd-nvidia-340xx 340.102-1
mhwd-tui 0.4-1
mime-types 9-1
minizip 1:1.2.11-2
mjpegtools 2.1.0-3
mkinitcpio 23-1
mkinitcpio-busybox 1.26.1-1
mkinitcpio-openswap 0.1.0-1
mobile-broadband-provider-info 20170310-1
mod_dnssd 0.6-6
modemmanager 1.6.8-1
moka-icon-theme 5.3.5-1
mozilla-common 1.4-4
mozo 1.18.0-1
mpfr 3.1.5.p2-1
mpg123 1.25.3-1
mpv 1:0.26.0-3
msgpack-c 2.1.3-1
mtdev 1.1.5-1
nano 2.8.5-1
ncurses 6.0+20170527-1
neon 0.30.2-2
neovim 0.2.0-2
nessus 6.10.9-1
net-snmp 5.7.3-5
netctl 1.12-2
nettle 3.3-1
network-manager-applet 1.8.2-1
networkmanager 1.8.2-1
networkmanager-dispatcher-ntpd 1.0-6
networkmanager-openconnect 1.2.4-2
networkmanager-openvpn 1.2.10-1
networkmanager-pptp 1.2.4-2
networkmanager-vpnc 1.2.4-2
nfs-utils 2.1.1-4
nfsidmap 0.26-1
nginx 1.12.1-1
nm-connection-editor 1.8.2-1
nmap 7.50-1
nodejs 8.2.1-1
noto-fonts-emoji 20170519-1
npm 5.3.0-1
npth 1.5-1
nspr 4.15-1
nss 3.31-3
nss-mdns 0.10-6
